n:1 mse_avg:2.96 mse_y:2.96 mse_u:2.97 mse_v:2.96 psnr_avg:43.38 psnr_y:43.42 psnr_u:43.41 psnr_v:43.42 
n:160 mse_avg:5215.08 mse_y:7196.61 mse_u:1007.00 mse_v:1497.04 psnr_avg:10.92 psnr_y:9.56 psnr_u:18.10 psnr_v:16.38 
n:161 mse_avg:5223.67 mse_y:7205.58 mse_u:1011.50 mse_v:1508.24 psnr_avg:10.92 psnr_y:9.55 psnr_u:18.08 psnr_v:16.35 
n:162 mse_avg:5208.09 mse_y:7189.62 mse_u:996.86 mse_v:1493.19 psnr_avg:10.93 psnr_y:9.56 psnr_u:18.14 psnr_v:16.39 
n:163 mse_avg:5275.82 mse_y:7255.18 mse_u:1065.17 mse_v:1569.01 psnr_avg:10.87 psnr_y:9.52 psnr_u:17.86 psnr_v:16.17 
n:164 mse_avg:5274.06 mse_y:7267.63 mse_u:1035.00 mse_v:1538.83 psnr_avg:10.88 psnr_y:9.52 psnr_u:17.98 psnr_v:16.26 
n:165 mse_avg:5273.33 mse_y:7261.94 mse_u:1041.51 mse_v:1550.69 psnr_avg:10.88 psnr_y:9.52 psnr_u:17.95 psnr_v:16.23 
n:166 mse_avg:5289.18 mse_y:7285.24 mse_u:1038.04 mse_v:1556.04 psnr_avg:10.86 psnr_y:9.51 psnr_u:17.97 psnr_v:16.21 
n:167 mse_avg:5312.60 mse_y:7318.78 mse_u:1041.42 mse_v:1559.07 psnr_avg:10.84 psnr_y:9.49 psnr_u:17.95 psnr_v:16.20 
n:168 mse_avg:5313.14 mse_y:7300.52 mse_u:1080.92 mse_v:1595.82 psnr_avg:10.84 psnr_y:9.50 psnr_u:17.79 psnr_v:16.10 
n:169 mse_avg:5238.59 mse_y:7201.39 mse_u:1056.71 mse_v:1569.31 psnr_avg:10.90 psnr_y:9.56 psnr_u:17.89 psnr_v:16.17 
n:170 mse_avg:5230.55 mse_y:7196.05 mse_u:1043.46 mse_v:1555.63 psnr_avg:10.91 psnr_y:9.56 psnr_u:17.95 psnr_v:16.21 
n:171 mse_avg:5230.62 mse_y:7200.33 mse_u:1035.70 mse_v:1546.70 psnr_avg:10.91 psnr_y:9.56 psnr_u:17.98 psnr_v:16.24 
n:172 mse_avg:5098.64 mse_y:7007.96 mse_u:1026.21 mse_v:1533.78 psnr_avg:11.02 psnr_y:9.67 psnr_u:18.02 psnr_v:16.27 
n:173 mse_avg:5325.51 mse_y:7315.17 mse_u:1089.25 mse_v:1603.11 psnr_avg:10.83 psnr_y:9.49 psnr_u:17.76 psnr_v:16.08 
n:174 mse_avg:5333.25 mse_y:7330.70 mse_u:1086.96 mse_v:1589.74 psnr_avg:10.83 psnr_y:9.48 psnr_u:17.77 psnr_v:16.12 
n:175 mse_avg:5309.75 mse_y:7304.82 mse_u:1068.19 mse_v:1571.04 psnr_avg:10.85 psnr_y:9.49 psnr_u:17.84 psnr_v:16.17 
n:176 mse_avg:5386.69 mse_y:7404.95 mse_u:1094.48 mse_v:1605.85 psnr_avg:10.78 psnr_y:9.44 psnr_u:17.74 psnr_v:16.07 
n:177 mse_avg:5324.87 mse_y:7323.92 mse_u:1074.26 mse_v:1579.28 psnr_avg:10.83 psnr_y:9.48 psnr_u:17.82 psnr_v:16.15 
n:178 mse_avg:5328.43 mse_y:7336.70 mse_u:1062.25 mse_v:1561.55 psnr_avg:10.83 psnr_y:9.48 psnr_u:17.87 psnr_v:16.20 
n:179 mse_avg:5357.73 mse_y:7386.54 mse_u:1053.85 mse_v:1546.36 psnr_avg:10.81 psnr_y:9.45 psnr_u:17.90 psnr_v:16.24 
n:180 mse_avg:5279.63 mse_y:7274.79 mse_u:1035.88 mse_v:1542.73 psnr_avg:10.87 psnr_y:9.51 psnr_u:17.98 psnr_v:16.25 
n:181 mse_avg:5408.40 mse_y:7430.83 mse_u:1108.10 mse_v:1618.97 psnr_avg:10.77 psnr_y:9.42 psnr_u:17.69 psnr_v:16.04 
n:182 mse_avg:5397.60 mse_y:7424.99 mse_u:1086.72 mse_v:1598.90 psnr_avg:10.77 psnr_y:9.42 psnr_u:17.77 psnr_v:16.09 
n:183 mse_avg:5392.76 mse_y:7415.91 mse_u:1091.84 mse_v:1601.07 psnr_avg:10.78 psnr_y:9.43 psnr_u:17.75 psnr_v:16.09 
n:184 mse_avg:5374.10 mse_y:7373.68 mse_u:1120.28 mse_v:1629.62 psnr_avg:10.79 psnr_y:9.45 psnr_u:17.64 psnr_v:16.01 
n:185 mse_avg:5340.51 mse_y:7334.89 mse_u:1093.09 mse_v:1610.45 psnr_avg:10.82 psnr_y:9.48 psnr_u:17.74 psnr_v:16.06 
n:186 mse_avg:5338.02 mse_y:7329.03 mse_u:1097.05 mse_v:1614.93 psnr_avg:10.82 psnr_y:9.48 psnr_u:17.73 psnr_v:16.05 
n:187 mse_avg:5345.00 mse_y:7337.74 mse_u:1099.25 mse_v:1619.83 psnr_avg:10.82 psnr_y:9.48 psnr_u:17.72 psnr_v:16.04 
n:188 mse_avg:5337.53 mse_y:7323.11 mse_u:1100.83 mse_v:1631.93 psnr_avg:10.82 psnr_y:9.48 psnr_u:17.71 psnr_v:16.00 
n:189 mse_avg:5371.77 mse_y:7365.05 mse_u:1121.06 mse_v:1649.33 psnr_avg:10.80 psnr_y:9.46 psnr_u:17.63 psnr_v:15.96 
n:190 mse_avg:5284.23 mse_y:7251.83 mse_u:1077.75 mse_v:1620.28 psnr_avg:10.87 psnr_y:9.53 psnr_u:17.81 psnr_v:16.03 
n:191 mse_avg:5279.70 mse_y:7243.04 mse_u:1077.91 mse_v:1628.15 psnr_avg:10.87 psnr_y:9.53 psnr_u:17.80 psnr_v:16.01 
n:192 mse_avg:5235.64 mse_y:7186.51 mse_u:1058.18 mse_v:1609.60 psnr_avg:10.91 psnr_y:9.57 psnr_u:17.89 psnr_v:16.06 
n:193 mse_avg:5235.22 mse_y:7190.18 mse_u:1049.43 mse_v:1601.14 psnr_avg:10.91 psnr_y:9.56 psnr_u:17.92 psnr_v:16.09 
n:194 mse_avg:5391.01 mse_y:7392.09 mse_u:1110.15 mse_v:1667.56 psnr_avg:10.78 psnr_y:9.44 psnr_u:17.68 psnr_v:15.91 
n:195 mse_avg:5320.10 mse_y:7301.98 mse_u:1071.86 mse_v:1640.84 psnr_avg:10.84 psnr_y:9.50 psnr_u:17.83 psnr_v:15.98 
n:196 mse_avg:5316.50 mse_y:7301.38 mse_u:1060.78 mse_v:1632.68 psnr_avg:10.84 psnr_y:9.50 psnr_u:17.87 psnr_v:16.00 
n:197 mse_avg:5262.94 mse_y:7229.12 mse_u:1042.88 mse_v:1618.30 psnr_avg:10.88 psnr_y:9.54 psnr_u:17.95 psnr_v:16.04 
n:198 mse_avg:5237.99 mse_y:7195.40 mse_u:1034.02 mse_v:1612.31 psnr_avg:10.91 psnr_y:9.56 psnr_u:17.99 psnr_v:16.06 
n:199 mse_avg:5397.17 mse_y:7399.35 mse_u:1100.06 mse_v:1685.54 psnr_avg:10.78 psnr_y:9.44 psnr_u:17.72 psnr_v:15.86 
n:200 mse_avg:5357.02 mse_y:7349.51 mse_u:1076.37 mse_v:1667.69 psnr_avg:10.81 psnr_y:9.47 psnr_u:17.81 psnr_v:15.91 
n:201 mse_avg:5355.19 mse_y:7350.92 mse_u:1067.90 mse_v:1659.56 psnr_avg:10.81 psnr_y:9.47 psnr_u:17.85 psnr_v:15.93 
n:202 mse_avg:5329.02 mse_y:7309.66 mse_u:1066.25 mse_v:1669.19 psnr_avg:10.83 psnr_y:9.49 psnr_u:17.85 psnr_v:15.91 
n:203 mse_avg:5278.56 mse_y:7241.73 mse_u:1055.41 mse_v:1649.05 psnr_avg:10.87 psnr_y:9.53 psnr_u:17.90 psnr_v:15.96 
n:204 mse_avg:5352.24 mse_y:7330.40 mse_u:1096.24 mse_v:1695.63 psnr_avg:10.81 psnr_y:9.48 psnr_u:17.73 psnr_v:15.84 
n:205 mse_avg:5269.06 mse_y:7237.92 mse_u:1036.74 mse_v:1625.95 psnr_avg:10.88 psnr_y:9.53 psnr_u:17.97 psnr_v:16.02 
n:206 mse_avg:5258.91 mse_y:7221.15 mse_u:1039.48 mse_v:1629.37 psnr_avg:10.89 psnr_y:9.54 psnr_u:17.96 psnr_v:16.01 
n:207 mse_avg:5243.49 mse_y:7194.18 mse_u:1045.43 mse_v:1638.80 psnr_avg:10.90 psnr_y:9.56 psnr_u:17.94 psnr_v:15.99 
n:208 mse_avg:5238.33 mse_y:7184.71 mse_u:1048.39 mse_v:1642.74 psnr_avg:10.90 psnr_y:9.57 psnr_u:17.93 psnr_v:15.98 
n:209 mse_avg:5292.29 mse_y:7238.31 mse_u:1100.21 mse_v:1700.26 psnr_avg:10.86 psnr_y:9.53 psnr_u:17.72 psnr_v:15.83 
n:210 mse_avg:5282.24 mse_y:7232.42 mse_u:1084.21 mse_v:1679.55 psnr_avg:10.87 psnr_y:9.54 psnr_u:17.78 psnr_v:15.88 
n:211 mse_avg:5333.44 mse_y:7317.18 mse_u:1073.85 mse_v:1658.10 psnr_avg:10.83 psnr_y:9.49 psnr_u:17.82 psnr_v:15.93 
n:212 mse_avg:5372.66 mse_y:7381.46 mse_u:1065.54 mse_v:1644.58 psnr_avg:10.79 psnr_y:9.45 psnr_u:17.86 psnr_v:15.97 
n:213 mse_avg:5400.47 mse_y:7426.65 mse_u:1062.10 mse_v:1634.15 psnr_avg:10.77 psnr_y:9.42 psnr_u:17.87 psnr_v:16.00 
n:214 mse_avg:5299.34 mse_y:7248.20 mse_u:1105.98 mse_v:1697.28 psnr_avg:10.85 psnr_y:9.53 psnr_u:17.69 psnr_v:15.83 
n:215 mse_avg:5319.78 mse_y:7287.25 mse_u:1091.41 mse_v:1678.30 psnr_avg:10.84 psnr_y:9.51 psnr_u:17.75 psnr_v:15.88 
n:216 mse_avg:5376.44 mse_y:7376.34 mse_u:1086.31 mse_v:1666.97 psnr_avg:10.79 psnr_y:9.45 psnr_u:17.77 psnr_v:15.91 
n:217 mse_avg:5404.69 mse_y:7421.31 mse_u:1082.71 mse_v:1660.19 psnr_avg:10.77 psnr_y:9.43 psnr_u:17.79 psnr_v:15.93 
n:218 mse_avg:5280.19 mse_y:7246.33 mse_u:1051.79 mse_v:1644.03 psnr_avg:10.87 psnr_y:9.53 psnr_u:17.91 psnr_v:15.97 
n:219 mse_avg:5305.15 mse_y:7255.18 mse_u:1113.02 mse_v:1697.15 psnr_avg:10.85 psnr_y:9.52 psnr_u:17.67 psnr_v:15.83 
n:220 mse_avg:5276.48 mse_y:7245.73 mse_u:1049.21 mse_v:1626.71 psnr_avg:10.87 psnr_y:9.53 psnr_u:17.92 psnr_v:16.02 
n:221 mse_avg:5274.25 mse_y:7240.76 mse_u:1055.55 mse_v:1626.91 psnr_avg:10.88 psnr_y:9.53 psnr_u:17.90 psnr_v:16.02 
n:222 mse_avg:5309.07 mse_y:7258.62 mse_u:1123.81 mse_v:1696.14 psnr_avg:10.85 psnr_y:9.52 psnr_u:17.62 psnr_v:15.84 
n:223 mse_avg:5294.64 mse_y:7248.66 mse_u:1107.87 mse_v:1665.32 psnr_avg:10.86 psnr_y:9.53 psnr_u:17.69 psnr_v:15.92 
n:224 mse_avg:5302.28 mse_y:7256.85 mse_u:1113.53 mse_v:1672.77 psnr_avg:10.85 psnr_y:9.52 psnr_u:17.66 psnr_v:15.90 
n:225 mse_avg:5298.78 mse_y:7249.89 mse_u:1113.51 mse_v:1679.61 psnr_avg:10.85 psnr_y:9.53 psnr_u:17.66 psnr_v:15.88 
n:226 mse_avg:5291.41 mse_y:7236.94 mse_u:1116.01 mse_v:1684.74 psnr_avg:10.86 psnr_y:9.54 psnr_u:17.65 psnr_v:15.87 
n:227 mse_avg:5307.75 mse_y:7253.93 mse_u:1126.82 mse_v:1703.98 psnr_avg:10.85 psnr_y:9.53 psnr_u:17.61 psnr_v:15.82 
n:228 mse_avg:5255.93 mse_y:7190.33 mse_u:1092.49 mse_v:1681.74 psnr_avg:10.89 psnr_y:9.56 psnr_u:17.75 psnr_v:15.87 
n:229 mse_avg:5254.41 mse_y:7186.52 mse_u:1093.27 mse_v:1687.10 psnr_avg:10.89 psnr_y:9.57 psnr_u:17.74 psnr_v:15.86 
n:230 mse_avg:5259.48 mse_y:7207.63 mse_u:1078.07 mse_v:1648.31 psnr_avg:10.89 psnr_y:9.55 psnr_u:17.80 psnr_v:15.96 
n:231 mse_avg:5260.97 mse_y:7208.57 mse_u:1079.05 mse_v:1652.47 psnr_avg:10.89 psnr_y:9.55 psnr_u:17.80 psnr_v:15.95 
n:232 mse_avg:5310.44 mse_y:7250.63 mse_u:1131.60 mse_v:1728.57 psnr_avg:10.85 psnr_y:9.53 psnr_u:17.59 psnr_v:15.75 
n:233 mse_avg:5295.03 mse_y:7238.22 mse_u:1111.27 mse_v:1706.06 psnr_avg:10.86 psnr_y:9.53 psnr_u:17.67 psnr_v:15.81 
n:234 mse_avg:5324.76 mse_y:7291.07 mse_u:1097.55 mse_v:1686.76 psnr_avg:10.83 psnr_y:9.50 psnr_u:17.73 psnr_v:15.86 
n:235 mse_avg:5339.93 mse_y:7318.71 mse_u:1087.60 mse_v:1677.16 psnr_avg:10.82 psnr_y:9.49 psnr_u:17.77 psnr_v:15.89 
n:236 mse_avg:5377.91 mse_y:7376.32 mse_u:1084.47 mse_v:1677.73 psnr_avg:10.79 psnr_y:9.45 psnr_u:17.78 psnr_v:15.88 
n:237 mse_avg:5347.71 mse_y:7305.21 mse_u:1139.26 mse_v:1726.17 psnr_avg:10.81 psnr_y:9.49 psnr_u:17.56 psnr_v:15.76 
n:238 mse_avg:5362.97 mse_y:7335.54 mse_u:1127.04 mse_v:1708.60 psnr_avg:10.80 psnr_y:9.48 psnr_u:17.61 psnr_v:15.80 
n:239 mse_avg:5263.54 mse_y:7193.04 mse_u:1112.85 mse_v:1696.23 psnr_avg:10.88 psnr_y:9.56 psnr_u:17.67 psnr_v:15.84 
n:240 mse_avg:5267.17 mse_y:7199.89 mse_u:1106.03 mse_v:1697.42 psnr_avg:10.88 psnr_y:9.56 psnr_u:17.69 psnr_v:15.83 
n:241 mse_avg:5294.61 mse_y:7237.42 mse_u:1110.31 mse_v:1707.67 psnr_avg:10.86 psnr_y:9.53 psnr_u:17.68 psnr_v:15.81 
n:242 mse_avg:5349.19 mse_y:7294.21 mse_u:1154.53 mse_v:1763.75 psnr_avg:10.81 psnr_y:9.50 psnr_u:17.51 psnr_v:15.67 
n:243 mse_avg:5290.21 mse_y:7230.86 mse_u:1100.96 mse_v:1716.86 psnr_avg:10.86 psnr_y:9.54 psnr_u:17.71 psnr_v:15.78 
n:244 mse_avg:5302.15 mse_y:7245.40 mse_u:1108.70 mse_v:1722.61 psnr_avg:10.85 psnr_y:9.53 psnr_u:17.68 psnr_v:15.77 
n:245 mse_avg:5328.21 mse_y:7280.76 mse_u:1114.62 mse_v:1731.64 psnr_avg:10.83 psnr_y:9.51 psnr_u:17.66 psnr_v:15.75 
n:246 mse_avg:5338.87 mse_y:7292.76 mse_u:1117.92 mse_v:1744.27 psnr_avg:10.82 psnr_y:9.50 psnr_u:17.65 psnr_v:15.71 
n:247 mse_avg:5374.42 mse_y:7318.21 mse_u:1176.19 mse_v:1797.51 psnr_avg:10.79 psnr_y:9.49 psnr_u:17.43 psnr_v:15.58 
n:248 mse_avg:5362.26 mse_y:7307.19 mse_u:1162.05 mse_v:1782.75 psnr_avg:10.80 psnr_y:9.49 psnr_u:17.48 psnr_v:15.62 
n:249 mse_avg:5385.91 mse_y:7326.44 mse_u:1192.87 mse_v:1816.84 psnr_avg:10.78 psnr_y:9.48 psnr_u:17.36 psnr_v:15.54 
n:250 mse_avg:5356.91 mse_y:7299.11 mse_u:1166.10 mse_v:1778.93 psnr_avg:10.81 psnr_y:9.50 psnr_u:17.46 psnr_v:15.63 
n:251 mse_avg:5362.49 mse_y:7309.52 mse_u:1161.66 mse_v:1775.23 psnr_avg:10.80 psnr_y:9.49 psnr_u:17.48 psnr_v:15.64 
n:252 mse_avg:5329.37 mse_y:7267.83 mse_u:1149.29 mse_v:1755.63 psnr_avg:10.83 psnr_y:9.52 psnr_u:17.53 psnr_v:15.69 
n:253 mse_avg:5363.69 mse_y:7324.48 mse_u:1139.80 mse_v:1744.40 psnr_avg:10.80 psnr_y:9.48 psnr_u:17.56 psnr_v:15.71 
n:254 mse_avg:5365.08 mse_y:7288.70 mse_u:1214.09 mse_v:1821.58 psnr_avg:10.80 psnr_y:9.50 psnr_u:17.29 psnr_v:15.53 
n:255 mse_avg:5391.34 mse_y:7336.06 mse_u:1197.04 mse_v:1806.78 psnr_avg:10.78 psnr_y:9.48 psnr_u:17.35 psnr_v:15.56 
n:256 mse_avg:5391.87 mse_y:7336.84 mse_u:1199.12 mse_v:1804.76 psnr_avg:10.78 psnr_y:9.48 psnr_u:17.34 psnr_v:15.57 
n:257 mse_avg:5399.75 mse_y:7345.82 mse_u:1200.47 mse_v:1814.76 psnr_avg:10.77 psnr_y:9.47 psnr_u:17.34 psnr_v:15.54 
n:258 mse_avg:5359.57 mse_y:7293.82 mse_u:1179.87 mse_v:1802.27 psnr_avg:10.81 psnr_y:9.50 psnr_u:17.41 psnr_v:15.57 
n:259 mse_avg:5357.07 mse_y:7266.05 mse_u:1227.87 mse_v:1850.32 psnr_avg:10.81 psnr_y:9.52 psnr_u:17.24 psnr_v:15.46 
n:260 mse_avg:5429.70 mse_y:7392.16 mse_u:1186.40 mse_v:1823.14 psnr_avg:10.75 psnr_y:9.44 psnr_u:17.39 psnr_v:15.52 
n:261 mse_avg:5442.21 mse_y:7407.46 mse_u:1196.88 mse_v:1826.51 psnr_avg:10.74 psnr_y:9.43 psnr_u:17.35 psnr_v:15.51 
n:262 mse_avg:5494.50 mse_y:7490.49 mse_u:1194.82 mse_v:1810.23 psnr_avg:10.70 psnr_y:9.39 psnr_u:17.36 psnr_v:15.55 
n:263 mse_avg:5549.54 mse_y:7577.00 mse_u:1192.68 mse_v:1796.57 psnr_avg:10.65 psnr_y:9.34 psnr_u:17.37 psnr_v:15.59 
n:264 mse_avg:5400.90 mse_y:7325.49 mse_u:1251.87 mse_v:1851.58 psnr_avg:10.77 psnr_y:9.48 psnr_u:17.16 psnr_v:15.46 
n:265 mse_avg:5409.02 mse_y:7360.01 mse_u:1202.87 mse_v:1811.22 psnr_avg:10.77 psnr_y:9.46 psnr_u:17.33 psnr_v:15.55 
n:266 mse_avg:5405.87 mse_y:7353.96 mse_u:1202.57 mse_v:1816.81 psnr_avg:10.77 psnr_y:9.47 psnr_u:17.33 psnr_v:15.54 
n:267 mse_avg:5406.81 mse_y:7330.09 mse_u:1266.21 mse_v:1854.27 psnr_avg:10.77 psnr_y:9.48 psnr_u:17.11 psnr_v:15.45 
n:268 mse_avg:5396.95 mse_y:7320.42 mse_u:1252.53 mse_v:1847.48 psnr_avg:10.78 psnr_y:9.49 psnr_u:17.15 psnr_v:15.47 
n:269 mse_avg:5391.52 mse_y:7311.35 mse_u:1249.82 mse_v:1853.86 psnr_avg:10.78 psnr_y:9.49 psnr_u:17.16 psnr_v:15.45 
n:270 mse_avg:5320.62 mse_y:7203.77 mse_u:1252.70 mse_v:1855.97 psnr_avg:10.84 psnr_y:9.56 psnr_u:17.15 psnr_v:15.45 
n:271 mse_avg:5373.10 mse_y:7278.31 mse_u:1259.81 mse_v:1865.53 psnr_avg:10.79 psnr_y:9.51 psnr_u:17.13 psnr_v:15.42 
