n:1 mse_avg:2.96 mse_y:2.96 mse_u:2.97 mse_v:2.96 psnr_avg:43.38 psnr_y:43.42 psnr_u:43.41 psnr_v:43.42 
n:38 mse_avg:3738.08 mse_y:5198.91 mse_u:534.12 mse_v:1098.77 psnr_avg:12.37 psnr_y:10.97 psnr_u:20.85 psnr_v:17.72 
n:39 mse_avg:12669.65 mse_y:13646.30 mse_u:8755.00 mse_v:12677.70 psnr_avg:7.07 psnr_y:6.78 psnr_u:8.71 psnr_v:7.10 
n:40 mse_avg:15624.91 mse_y:17114.85 mse_u:10559.85 mse_v:14730.19 psnr_avg:6.16 psnr_y:5.80 psnr_u:7.89 psnr_v:6.45 
n:41 mse_avg:15576.53 mse_y:17065.49 mse_u:10526.41 mse_v:14670.82 psnr_avg:6.17 psnr_y:5.81 psnr_u:7.91 psnr_v:6.47 
n:42 mse_avg:15586.04 mse_y:17083.44 mse_u:10524.32 mse_v:14658.17 psnr_avg:6.17 psnr_y:5.81 psnr_u:7.91 psnr_v:6.47 
n:43 mse_avg:3864.99 mse_y:5374.11 mse_u:543.03 mse_v:1150.49 psnr_avg:12.23 psnr_y:10.83 psnr_u:20.78 psnr_v:17.52 
n:44 mse_avg:3774.86 mse_y:5252.23 mse_u:507.84 mse_v:1132.37 psnr_avg:12.33 psnr_y:10.93 psnr_u:21.07 psnr_v:17.59 
n:45 mse_avg:3780.78 mse_y:5268.02 mse_u:497.95 mse_v:1114.66 psnr_avg:12.32 psnr_y:10.91 psnr_u:21.16 psnr_v:17.66 
n:46 mse_avg:3776.54 mse_y:5263.81 mse_u:495.18 mse_v:1108.84 psnr_avg:12.33 psnr_y:10.92 psnr_u:21.18 psnr_v:17.68 
n:47 mse_avg:3774.50 mse_y:5262.45 mse_u:492.54 mse_v:1104.68 psnr_avg:12.33 psnr_y:10.92 psnr_u:21.21 psnr_v:17.70 
n:48 mse_avg:3944.06 mse_y:5484.19 mse_u:541.96 mse_v:1185.63 psnr_avg:12.14 psnr_y:10.74 psnr_u:20.79 psnr_v:17.39 
n:49 mse_avg:3862.64 mse_y:5383.52 mse_u:505.60 mse_v:1136.14 psnr_avg:12.23 psnr_y:10.82 psnr_u:21.09 psnr_v:17.58 
n:50 mse_avg:3868.62 mse_y:5396.21 mse_u:500.78 mse_v:1126.08 psnr_avg:12.22 psnr_y:10.81 psnr_u:21.13 psnr_v:17.62 
n:51 mse_avg:3808.49 mse_y:5309.31 mse_u:493.73 mse_v:1119.98 psnr_avg:12.29 psnr_y:10.88 psnr_u:21.20 psnr_v:17.64 
n:52 mse_avg:3776.19 mse_y:5262.21 mse_u:494.51 mse_v:1113.77 psnr_avg:12.33 psnr_y:10.92 psnr_u:21.19 psnr_v:17.66 
n:53 mse_avg:3987.42 mse_y:5540.31 mse_u:557.36 mse_v:1205.96 psnr_avg:12.09 psnr_y:10.70 psnr_u:20.67 psnr_v:17.32 
n:54 mse_avg:16799.39 mse_y:18579.80 mse_u:11031.05 mse_v:15446.08 psnr_avg:5.84 psnr_y:5.44 psnr_u:7.70 psnr_v:6.24 
n:55 mse_avg:18691.32 mse_y:20593.03 mse_u:12421.25 mse_v:17354.58 psnr_avg:5.38 psnr_y:4.99 psnr_u:7.19 psnr_v:5.74 
n:56 mse_avg:18575.85 mse_y:20433.93 mse_u:12396.31 mse_v:17323.09 psnr_avg:5.41 psnr_y:5.03 psnr_u:7.20 psnr_v:5.74 
n:57 mse_avg:18473.15 mse_y:20287.66 mse_u:12378.62 mse_v:17309.63 psnr_avg:5.43 psnr_y:5.06 psnr_u:7.20 psnr_v:5.75 
n:58 mse_avg:4050.83 mse_y:5623.57 mse_u:584.02 mse_v:1226.68 psnr_avg:12.02 psnr_y:10.63 psnr_u:20.47 psnr_v:17.24 
n:59 mse_avg:3957.54 mse_y:5507.04 mse_u:539.82 mse_v:1177.29 psnr_avg:12.12 psnr_y:10.72 psnr_u:20.81 psnr_v:17.42 
n:60 mse_avg:3937.67 mse_y:5479.02 mse_u:539.96 mse_v:1169.95 psnr_avg:12.14 psnr_y:10.74 psnr_u:20.81 psnr_v:17.45 
n:61 mse_avg:4098.75 mse_y:5681.81 mse_u:603.30 mse_v:1261.98 psnr_avg:11.97 psnr_y:10.59 psnr_u:20.33 psnr_v:17.12 
n:62 mse_avg:4070.69 mse_y:5650.65 mse_u:586.09 mse_v:1235.46 psnr_avg:12.00 psnr_y:10.61 psnr_u:20.45 psnr_v:17.21 
n:63 mse_avg:4075.41 mse_y:5656.37 mse_u:587.39 mse_v:1239.61 psnr_avg:11.99 psnr_y:10.61 psnr_u:20.44 psnr_v:17.20 
n:64 mse_avg:4048.41 mse_y:5615.94 mse_u:583.26 mse_v:1243.44 psnr_avg:12.02 psnr_y:10.64 psnr_u:20.47 psnr_v:17.18 
n:65 mse_avg:4070.81 mse_y:5645.61 mse_u:587.62 mse_v:1254.83 psnr_avg:12.00 psnr_y:10.61 psnr_u:20.44 psnr_v:17.14 
n:66 mse_avg:4158.46 mse_y:5754.92 mse_u:616.25 mse_v:1314.83 psnr_avg:11.91 psnr_y:10.53 psnr_u:20.23 psnr_v:16.94 
n:67 mse_avg:15437.32 mse_y:17186.14 mse_u:9689.33 mse_v:14190.03 psnr_avg:6.21 psnr_y:5.78 psnr_u:8.27 psnr_v:6.61 
n:68 mse_avg:4206.29 mse_y:5812.59 mse_u:637.57 mse_v:1349.83 psnr_avg:11.86 psnr_y:10.49 psnr_u:20.09 psnr_v:16.83 
n:69 mse_avg:8442.13 mse_y:9931.54 mse_u:4344.70 mse_v:6581.92 psnr_avg:8.83 psnr_y:8.16 psnr_u:11.75 psnr_v:9.95 
n:70 mse_avg:8463.02 mse_y:9957.28 mse_u:4355.68 mse_v:6593.31 psnr_avg:8.82 psnr_y:8.15 psnr_u:11.74 psnr_v:9.94 
n:71 mse_avg:8481.55 mse_y:9980.46 mse_u:4363.07 mse_v:6604.38 psnr_avg:8.81 psnr_y:8.14 psnr_u:11.73 psnr_v:9.93 
n:72 mse_avg:8501.44 mse_y:10003.86 mse_u:4369.64 mse_v:6623.56 psnr_avg:8.80 psnr_y:8.13 psnr_u:11.73 psnr_v:9.92 
n:73 mse_avg:4264.25 mse_y:5888.21 mse_u:658.17 mse_v:1374.49 psnr_avg:11.80 psnr_y:10.43 psnr_u:19.95 psnr_v:16.75 
n:74 mse_avg:11882.88 mse_y:13308.43 mse_u:7547.09 mse_v:10516.45 psnr_avg:7.35 psnr_y:6.89 psnr_u:9.35 psnr_v:7.91 
n:75 mse_avg:11259.52 mse_y:12377.04 mse_u:7463.99 mse_v:10584.92 psnr_avg:7.58 psnr_y:7.20 psnr_u:9.40 psnr_v:7.88 
