n:38 mse_avg:13639.63 mse_y:13813.41 mse_u:13107.22 mse_v:13476.89 psnr_avg:6.75 psnr_y:6.73 psnr_u:6.96 psnr_v:6.83 
n:39 mse_avg:13494.50 mse_y:13596.94 mse_u:13100.91 mse_v:13478.32 psnr_avg:6.80 psnr_y:6.80 psnr_u:6.96 psnr_v:6.83 
n:40 mse_avg:5.56 mse_y:7.57 mse_u:1.77 mse_v:1.34 psnr_avg:40.64 psnr_y:39.34 psnr_u:45.66 psnr_v:46.87 
n:41 mse_avg:14361.52 mse_y:14869.82 mse_u:13151.76 mse_v:13538.07 psnr_avg:6.52 psnr_y:6.41 psnr_u:6.94 psnr_v:6.82 
n:42 mse_avg:820.92 mse_y:1114.69 mse_u:224.55 mse_v:242.21 psnr_avg:18.95 psnr_y:17.66 psnr_u:24.62 psnr_v:24.29 
n:43 mse_avg:4.47 mse_y:5.97 mse_u:1.64 mse_v:1.27 psnr_avg:41.60 psnr_y:40.37 psnr_u:45.99 psnr_v:47.10 
n:44 mse_avg:5.10 mse_y:6.91 mse_u:1.67 mse_v:1.31 psnr_avg:41.02 psnr_y:39.74 psnr_u:45.91 psnr_v:46.94 
n:45 mse_avg:5.99 mse_y:8.22 mse_u:1.71 mse_v:1.36 psnr_avg:40.32 psnr_y:38.98 psnr_u:45.79 psnr_v:46.79 
n:46 mse_avg:6.99 mse_y:9.70 mse_u:1.75 mse_v:1.41 psnr_avg:39.65 psnr_y:38.26 psnr_u:45.70 psnr_v:46.64 
n:47 mse_avg:10.51 mse_y:14.93 mse_u:1.82 mse_v:1.48 psnr_avg:37.88 psnr_y:36.39 psnr_u:45.53 psnr_v:46.44 
n:48 mse_avg:5.35 mse_y:7.23 mse_u:1.78 mse_v:1.37 psnr_avg:40.82 psnr_y:39.54 psnr_u:45.63 psnr_v:46.78 
n:49 mse_avg:14226.10 mse_y:14692.99 mse_u:13096.84 mse_v:13487.80 psnr_avg:6.57 psnr_y:6.46 psnr_u:6.96 psnr_v:6.83 
n:50 mse_avg:14039.14 mse_y:14385.27 mse_u:13153.03 mse_v:13540.69 psnr_avg:6.62 psnr_y:6.55 psnr_u:6.94 psnr_v:6.81 
n:51 mse_avg:5.50 mse_y:7.43 mse_u:1.86 mse_v:1.42 psnr_avg:40.69 psnr_y:39.42 psnr_u:45.44 psnr_v:46.61 
n:52 mse_avg:6.19 mse_y:8.44 mse_u:1.89 mse_v:1.48 psnr_avg:40.18 psnr_y:38.87 psnr_u:45.36 psnr_v:46.42 
n:53 mse_avg:7.13 mse_y:9.81 mse_u:1.98 mse_v:1.55 psnr_avg:39.57 psnr_y:38.21 psnr_u:45.17 psnr_v:46.23 
n:54 mse_avg:81.83 mse_y:121.78 mse_u:2.14 mse_v:1.72 psnr_avg:28.97 psnr_y:27.27 psnr_u:44.83 psnr_v:45.78 
n:55 mse_avg:559.57 mse_y:837.58 mse_u:3.54 mse_v:3.55 psnr_avg:20.62 psnr_y:18.90 psnr_u:42.64 psnr_v:42.63 
n:56 mse_avg:6.58 mse_y:9.00 mse_u:1.92 mse_v:1.55 psnr_avg:39.91 psnr_y:38.59 psnr_u:45.29 psnr_v:46.23 
n:57 mse_avg:1005.73 mse_y:1505.35 mse_u:6.05 mse_v:6.93 psnr_avg:18.07 psnr_y:16.35 psnr_u:40.31 psnr_v:39.72 
n:58 mse_avg:1032.78 mse_y:1545.55 mse_u:7.27 mse_v:7.24 psnr_avg:17.96 psnr_y:16.24 psnr_u:39.52 psnr_v:39.53 
n:59 mse_avg:1000.83 mse_y:1496.99 mse_u:9.39 mse_v:7.60 psnr_avg:18.09 psnr_y:16.38 psnr_u:38.40 psnr_v:39.32 
n:60 mse_avg:879.43 mse_y:1315.16 mse_u:8.98 mse_v:6.95 psnr_avg:18.65 psnr_y:16.94 psnr_u:38.60 psnr_v:39.71 
n:61 mse_avg:4.01 mse_y:5.29 mse_u:1.65 mse_v:1.24 psnr_avg:42.07 psnr_y:40.90 psnr_u:45.95 psnr_v:47.19 
n:62 mse_avg:4.54 mse_y:6.05 mse_u:1.74 mse_v:1.28 psnr_avg:41.53 psnr_y:40.31 psnr_u:45.72 psnr_v:47.05 
n:63 mse_avg:96.35 mse_y:143.37 mse_u:2.83 mse_v:1.79 psnr_avg:28.26 psnr_y:26.57 psnr_u:43.61 psnr_v:45.59 
n:64 mse_avg:653.34 mse_y:977.47 mse_u:6.66 mse_v:3.48 psnr_avg:19.95 psnr_y:18.23 psnr_u:39.89 psnr_v:42.71 
n:65 mse_avg:1699.26 mse_y:2538.31 mse_u:31.87 mse_v:10.44 psnr_avg:15.79 psnr_y:14.09 psnr_u:33.10 psnr_v:37.94 
n:66 mse_avg:3.73 mse_y:4.75 mse_u:1.99 mse_v:1.40 psnr_avg:42.37 psnr_y:41.36 psnr_u:45.14 psnr_v:46.66 
n:67 mse_avg:4.59 mse_y:6.00 mse_u:2.10 mse_v:1.46 psnr_avg:41.48 psnr_y:40.35 psnr_u:44.90 psnr_v:46.50 
n:68 mse_avg:264.03 mse_y:394.92 mse_u:2.71 mse_v:1.81 psnr_avg:23.88 psnr_y:22.17 psnr_u:43.79 psnr_v:45.56 
n:69 mse_avg:927.45 mse_y:1389.24 mse_u:4.84 mse_v:2.91 psnr_avg:18.42 psnr_y:16.70 psnr_u:41.28 psnr_v:43.50 
n:70 mse_avg:999.39 mse_y:1495.60 mse_u:8.66 mse_v:5.24 psnr_avg:18.10 psnr_y:16.38 psnr_u:38.76 psnr_v:40.94 
n:71 mse_avg:5.69 mse_y:7.46 mse_u:2.51 mse_v:1.76 psnr_avg:40.55 psnr_y:39.40 psnr_u:44.13 psnr_v:45.68 
n:72 mse_avg:6.23 mse_y:8.24 mse_u:2.59 mse_v:1.80 psnr_avg:40.15 psnr_y:38.97 psnr_u:44.00 psnr_v:45.58 
n:73 mse_avg:7.09 mse_y:9.51 mse_u:2.65 mse_v:1.82 psnr_avg:39.59 psnr_y:38.35 psnr_u:43.91 psnr_v:45.54 
